song	album_name	release_date	popularity	duration	danceability	date	rank
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-12-05	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-12-05	15.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-12-12	27.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-12-12	18.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-12-19	23.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-12-19	18.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-12-26	27.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-12-26	22.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2010-01-02	30.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2010-01-02	22.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2010-01-09	25.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2010-01-09	19.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2010-01-16	28.0
